final_corruption_rate,final_mean_integrity,total_extractions,integrity_mean,base_detection_prob,n_enforcers,oversight_structure,integrity_decay,corruption_contagion,seed
1.0,0.34387441595931856,8334,3.0,0.5,100,hierarchical,True,True,9
1.0,0.2993776595145269,6974,3.0,0.6,100,hierarchical,True,True,0
1.0,0.32826391106976793,7231,3.0,0.6,100,hierarchical,True,True,1
1.0,0.27462708735060565,7383,3.0,0.6,100,hierarchical,True,True,2
1.0,0.34167899694332254,7411,3.0,0.6,100,hierarchical,True,True,3
1.0,0.3750227403610626,7040,3.0,0.6,100,hierarchical,True,True,4
1.0,0.31751823771718823,7028,3.0,0.6,100,hierarchical,True,True,5
1.0,0.31124272479979637,7232,3.0,0.6,100,hierarchical,True,True,6
1.0,0.3531964435321532,7130,3.0,0.6,100,hierarchical,True,True,7
1.0,0.3493831064761095,7167,3.0,0.6,100,hierarchical,True,True,8
1.0,0.3120329768956315,6882,3.0,0.6,100,hierarchical,True,True,9
0.99,0.24190260616043469,5945,3.0,0.7,100,hierarchical,True,True,0
0.99,0.24328428019851742,6201,3.0,0.7,100,hierarchical,True,True,1
1.0,0.26133706020821296,6179,3.0,0.7,100,hierarchical,True,True,2
1.0,0.17161246622535364,6493,3.0,0.7,100,hierarchical,True,True,3
0.99,0.329794411699725,5936,3.0,0.7,100,hierarchical,True,True,4
0.98,0.20006372846541992,5932,3.0,0.7,100,hierarchical,True,True,5
1.0,0.20947576379372382,6193,3.0,0.7,100,hierarchical,True,True,6
0.97,0.20016454761962676,6231,3.0,0.7,100,hierarchical,True,True,7
0.99,0.23840598603092805,6056,3.0,0.7,100,hierarchical,True,True,8
0.99,0.3081044373519833,5700,3.0,0.7,100,hierarchical,True,True,9
1.0,0.0008813645223939739,17307,4.0,0.1,100,hierarchical,True,True,0
1.0,0.024862575250661694,17087,4.0,0.1,100,hierarchical,True,True,1
1.0,0.001336529839684536,17433,4.0,0.1,100,hierarchical,True,True,2
1.0,0.0007391540419065816,17561,4.0,0.1,100,hierarchical,True,True,3
1.0,0.0008487499666471256,17329,4.0,0.1,100,hierarchical,True,True,4
1.0,0.05985260126914464,17038,4.0,0.1,100,hierarchical,True,True,5
1.0,0.0011818306641197492,17186,4.0,0.1,100,hierarchical,True,True,6
1.0,0.0031354724763767816,17290,4.0,0.1,100,hierarchical,True,True,7
1.0,0.0011335591061630006,17197,4.0,0.1,100,hierarchical,True,True,8
1.0,0.0010391006678217775,17291,4.0,0.1,100,hierarchical,True,True,9
1.0,0.03591916782763376,15211,4.0,0.2,100,hierarchical,True,True,0
1.0,0.01263496194819044,14959,4.0,0.2,100,hierarchical,True,True,1
1.0,0.06521364244778843,15095,4.0,0.2,100,hierarchical,True,True,2
1.0,0.05192354699316506,15236,4.0,0.2,100,hierarchical,True,True,3
1.0,0.014564961581655626,15085,4.0,0.2,100,hierarchical,True,True,4
