reached_extinction,time_to_extinction,num_cycles,final_state,final_p_ai
true,868.54,18,Extinction,0.9900
true,633.11,15,Extinction,0.6510
true,394.98,11,Extinction,0.3722
true,344.20,10,Extinction,0.3236
true,567.40,19,Extinction,0.9900
true,135.98,4,Extinction,0.1399
true,315.02,7,Extinction,0.2128
true,500.75,13,Extinction,0.4922
true,44.66,2,Extinction,0.1058
true,456.18,9,Extinction,0.2814
true,625.46,12,Extinction,0.4280
true,294.51,8,Extinction,0.2447
true,256.33,8,Extinction,0.2447
true,632.35,12,Extinction,0.4280
true,708.00,15,Extinction,0.6510
true,393.35,11,Extinction,0.3722
true,342.12,7,Extinction,0.2128
true,526.27,13,Extinction,0.4922
true,739.68,19,Extinction,0.9900
true,596.84,14,Extinction,0.5661
true,314.01,9,Extinction,0.2814
true,482.09,9,Extinction,0.2814
true,521.08,13,Extinction,0.4922
true,554.33,13,Extinction,0.4922
true,502.63,10,Extinction,0.3236
true,491.02,14,Extinction,0.5661
true,279.32,7,Extinction,0.2128
true,581.85,15,Extinction,0.6510
true,470.65,11,Extinction,0.3722
true,294.46,6,Extinction,0.1850
true,104.88,4,Extinction,0.1399
true,538.69,11,Extinction,0.3722
true,879.94,19,Extinction,0.9900
true,767.16,18,Extinction,0.9900
true,447.92,11,Extinction,0.3722
true,495.49,12,Extinction,0.4280
true,225.83,6,Extinction,0.1850
true,488.70,10,Extinction,0.3236
true,651.60,17,Extinction,0.8609
true,476.09,11,Extinction,0.3722
true,749.29,17,Extinction,0.8609
true,287.70,9,Extinction,0.2814
true,300.90,10,Extinction,0.3236
true,141.95,4,Extinction,0.1399
true,399.72,7,Extinction,0.2128
true,510.36,13,Extinction,0.4922
true,143.38,4,Extinction,0.1399
true,260.81,8,Extinction,0.2447
true,484.65,10,Extinction,0.3236
true,531.63,11,Extinction,0.3722
true,746.72,16,Extinction,0.7486
true,216.22,6,Extinction,0.1850
true,418.88,9,Extinction,0.2814
true,646.38,17,Extinction,0.8609
true,486.75,12,Extinction,0.4280
true,738.40,15,Extinction,0.6510
true,675.71,14,Extinction,0.5661
true,46.29,3,Extinction,0.1217
true,34.56,2,Extinction,0.1058
true,465.17,10,Extinction,0.3236
true,418.45,10,Extinction,0.3236
true,328.38,8,Extinction,0.2447
true,620.42,14,Extinction,0.5661
true,504.85,10,Extinction,0.3236
true,558.54,14,Extinction,0.5661
true,508.22,12,Extinction,0.4280
true,498.41,12,Extinction,0.4280
true,423.42,10,Extinction,0.3236
true,585.40,13,Extinction,0.4922
true,384.39,9,Extinction,0.2814
true,226.05,8,Extinction,0.2447
true,399.25,12,Extinction,0.4280
true,575.85,15,Extinction,0.6510
true,426.38,15,Extinction,0.6510
true,880.66,17,Extinction,0.8609
true,747.51,15,Extinction,0.6510
true,59.57,2,Extinction,0.1058
true,111.06,4,Extinction,0.1399
true,315.88,8,Extinction,0.2447
true,961.29,18,Extinction,0.9900
true,705.76,17,Extinction,0.8609
true,175.03,9,Extinction,0.2814
true,553.05,16,Extinction,0.7486
true,762.02,16,Extinction,0.7486
true,369.30,8,Extinction,0.2447
true,91.13,4,Extinction,0.1399
true,246.12,6,Extinction,0.1850
true,606.18,13,Extinction,0.4922
true,467.25,13,Extinction,0.4922
true,553.38,13,Extinction,0.4922
true,151.70,4,Extinction,0.1399
true,479.56,12,Extinction,0.4280
true,427.80,12,Extinction,0.4280
true,486.49,14,Extinction,0.5661
true,100.85,3,Extinction,0.1217
true,668.00,17,Extinction,0.8609
true,196.94,7,Extinction,0.2128
true,173.29,4,Extinction,0.1399
true,561.61,14,Extinction,0.5661
true,61.18,2,Extinction,0.1058
true,544.94,13,Extinction,0.4922
true,183.17,6,Extinction,0.1850
true,663.28,19,Extinction,0.9900
true,112.47,4,Extinction,0.1399
true,444.37,10,Extinction,0.3236
true,539.20,12,Extinction,0.4280
true,72.74,2,Extinction,0.1058
true,287.68,7,Extinction,0.2128
true,257.57,8,Extinction,0.2447
true,208.77,8,Extinction,0.2447
true,32.39,2,Extinction,0.1058
true,580.27,15,Extinction,0.6510
true,267.74,7,Extinction,0.2128
true,630.91,15,Extinction,0.6510
true,358.36,10,Extinction,0.3236
true,554.10,11,Extinction,0.3722
true,426.24,10,Extinction,0.3236
true,229.13,7,Extinction,0.2128
true,369.49,10,Extinction,0.3236
true,313.71,6,Extinction,0.1850
true,686.58,16,Extinction,0.7486
true,366.08,9,Extinction,0.2814
true,520.66,11,Extinction,0.3722
true,180.32,6,Extinction,0.1850
true,452.48,10,Extinction,0.3236
true,864.37,18,Extinction,0.9900
true,569.92,12,Extinction,0.4280
true,870.98,20,Extinction,0.9900
true,829.75,18,Extinction,0.9900
true,142.82,4,Extinction,0.1399
true,420.15,9,Extinction,0.2814
true,90.86,3,Extinction,0.1217
true,327.54,10,Extinction,0.3236
true,783.08,17,Extinction,0.8609
true,759.34,19,Extinction,0.9900
true,468.41,11,Extinction,0.3722
true,450.51,13,Extinction,0.4922
true,491.41,12,Extinction,0.4280
true,645.37,17,Extinction,0.8609
true,484.04,13,Extinction,0.4922
true,299.51,9,Extinction,0.2814
true,195.78,7,Extinction,0.2128
true,414.69,10,Extinction,0.3236
true,2.84,2,Extinction,0.1058
true,281.62,12,Extinction,0.4280
true,346.85,9,Extinction,0.2814
true,507.36,9,Extinction,0.2814
true,171.23,4,Extinction,0.1399
true,723.21,16,Extinction,0.7486
true,344.18,11,Extinction,0.3722
true,325.80,11,Extinction,0.3722
true,666.21,16,Extinction,0.7486
true,142.25,4,Extinction,0.1399
true,591.56,13,Extinction,0.4922
true,717.00,17,Extinction,0.8609
true,85.69,4,Extinction,0.1399
true,66.94,2,Extinction,0.1058
true,866.07,17,Extinction,0.8609
true,696.28,18,Extinction,0.9900
true,328.92,8,Extinction,0.2447
true,84.53,4,Extinction,0.1399
true,597.98,12,Extinction,0.4280
true,343.30,9,Extinction,0.2814
true,630.10,13,Extinction,0.4922
true,343.33,8,Extinction,0.2447
true,338.86,9,Extinction,0.2814
true,415.93,13,Extinction,0.4922
true,369.09,14,Extinction,0.5661
true,59.64,4,Extinction,0.1399
true,478.30,11,Extinction,0.3722
true,496.80,11,Extinction,0.3722
true,460.65,12,Extinction,0.4280
true,219.24,6,Extinction,0.1850
true,402.93,9,Extinction,0.2814
true,376.60,11,Extinction,0.3722
true,324.65,7,Extinction,0.2128
true,212.96,5,Extinction,0.1609
true,349.12,10,Extinction,0.3236
true,165.97,4,Extinction,0.1399
true,539.68,16,Extinction,0.7486
true,415.82,12,Extinction,0.4280
true,432.29,9,Extinction,0.2814
true,296.97,6,Extinction,0.1850
true,226.40,6,Extinction,0.1850
true,264.69,7,Extinction,0.2128
true,499.45,16,Extinction,0.7486
true,445.31,15,Extinction,0.6510
true,479.31,10,Extinction,0.3236
true,355.69,10,Extinction,0.3236
true,533.40,15,Extinction,0.6510
true,427.13,8,Extinction,0.2447
true,271.84,9,Extinction,0.2814
true,248.17,8,Extinction,0.2447
true,376.19,9,Extinction,0.2814
true,696.84,15,Extinction,0.6510
true,642.91,17,Extinction,0.8609
true,532.10,10,Extinction,0.3236
true,76.28,2,Extinction,0.1058
true,283.10,6,Extinction,0.1850
true,346.91,9,Extinction,0.2814
true,333.20,9,Extinction,0.2814
true,408.92,15,Extinction,0.6510
true,545.07,14,Extinction,0.5661
true,164.18,6,Extinction,0.1850
true,549.65,13,Extinction,0.4922
true,246.61,10,Extinction,0.3236
true,305.26,9,Extinction,0.2814
true,215.13,4,Extinction,0.1399
true,795.56,17,Extinction,0.8609
true,21.37,2,Extinction,0.1058
true,747.36,18,Extinction,0.9900
true,389.75,9,Extinction,0.2814
true,637.92,15,Extinction,0.6510
true,440.70,9,Extinction,0.2814
true,715.64,15,Extinction,0.6510
true,301.99,8,Extinction,0.2447
true,373.65,12,Extinction,0.4280
true,251.41,6,Extinction,0.1850
true,276.90,7,Extinction,0.2128
true,251.98,6,Extinction,0.1850
true,171.97,4,Extinction,0.1399
true,298.98,10,Extinction,0.3236
true,530.26,14,Extinction,0.5661
true,97.94,2,Extinction,0.1058
true,222.23,6,Extinction,0.1850
true,366.65,7,Extinction,0.2128
true,296.94,7,Extinction,0.2128
true,378.39,7,Extinction,0.2128
true,980.81,20,Extinction,0.9900
true,626.26,15,Extinction,0.6510
true,303.18,7,Extinction,0.2128
true,327.21,8,Extinction,0.2447
true,581.56,13,Extinction,0.4922
true,446.60,10,Extinction,0.3236
true,262.05,9,Extinction,0.2814
true,244.93,8,Extinction,0.2447
true,437.80,10,Extinction,0.3236
true,531.84,12,Extinction,0.4280
true,668.56,15,Extinction,0.6510
true,223.59,6,Extinction,0.1850
true,371.18,10,Extinction,0.3236
true,491.87,14,Extinction,0.5661
true,724.68,16,Extinction,0.7486
true,160.58,4,Extinction,0.1399
true,501.09,10,Extinction,0.3236
true,432.75,11,Extinction,0.3722
true,627.73,12,Extinction,0.4280
true,531.96,18,Extinction,0.9900
true,55.85,4,Extinction,0.1399
true,633.70,14,Extinction,0.5661
true,229.57,7,Extinction,0.2128
true,237.74,6,Extinction,0.1850
true,226.14,6,Extinction,0.1850
true,449.31,9,Extinction,0.2814
true,230.65,6,Extinction,0.1850
true,481.80,14,Extinction,0.5661
true,316.34,10,Extinction,0.3236
true,391.29,10,Extinction,0.3236
true,796.66,15,Extinction,0.6510
true,759.37,18,Extinction,0.9900
true,442.75,9,Extinction,0.2814
true,481.40,12,Extinction,0.4280
true,473.05,13,Extinction,0.4922
true,265.50,6,Extinction,0.1850
true,40.43,2,Extinction,0.1058
true,605.24,15,Extinction,0.6510
true,539.15,12,Extinction,0.4280
true,728.47,16,Extinction,0.7486
true,554.69,12,Extinction,0.4280
true,26.82,2,Extinction,0.1058
true,659.67,15,Extinction,0.6510
true,468.55,10,Extinction,0.3236
true,713.55,15,Extinction,0.6510
true,536.91,15,Extinction,0.6510
true,597.28,15,Extinction,0.6510
true,738.59,14,Extinction,0.5661
true,352.33,12,Extinction,0.4280
true,726.86,17,Extinction,0.8609
true,27.87,2,Extinction,0.1058
true,116.91,4,Extinction,0.1399
true,616.13,13,Extinction,0.4922
true,35.60,2,Extinction,0.1058
true,211.23,5,Extinction,0.1609
true,46.73,3,Extinction,0.1217
true,433.40,12,Extinction,0.4280
true,711.01,16,Extinction,0.7486
true,288.88,9,Extinction,0.2814
true,704.67,18,Extinction,0.9900
true,490.80,17,Extinction,0.8609
true,266.64,8,Extinction,0.2447
true,533.88,13,Extinction,0.4922
true,612.49,12,Extinction,0.4280
true,572.28,16,Extinction,0.7486
true,451.12,12,Extinction,0.4280
true,558.81,11,Extinction,0.3722
true,336.17,10,Extinction,0.3236
true,399.82,9,Extinction,0.2814
true,363.96,8,Extinction,0.2447
true,745.66,17,Extinction,0.8609
true,792.96,17,Extinction,0.8609
true,595.92,11,Extinction,0.3722
true,57.05,2,Extinction,0.1058
true,593.48,13,Extinction,0.4922
true,428.06,10,Extinction,0.3236
true,123.79,5,Extinction,0.1609
true,403.14,11,Extinction,0.3722
true,589.36,13,Extinction,0.4922
true,439.81,9,Extinction,0.2814
true,750.21,15,Extinction,0.6510
true,473.40,12,Extinction,0.4280
true,110.90,6,Extinction,0.1850
true,403.80,12,Extinction,0.4280
true,218.59,4,Extinction,0.1399
true,480.52,8,Extinction,0.2447
true,615.10,11,Extinction,0.3722
true,615.00,15,Extinction,0.6510
true,79.70,4,Extinction,0.1399
true,206.53,4,Extinction,0.1399
true,819.34,21,Extinction,0.9900
true,52.92,2,Extinction,0.1058
true,259.34,6,Extinction,0.1850
true,334.96,8,Extinction,0.2447
true,661.81,16,Extinction,0.7486
true,367.00,10,Extinction,0.3236
true,535.94,11,Extinction,0.3722
true,447.23,12,Extinction,0.4280
true,336.04,9,Extinction,0.2814
true,229.66,5,Extinction,0.1609
true,329.70,8,Extinction,0.2447
true,497.93,11,Extinction,0.3722
true,189.35,5,Extinction,0.1609
true,424.62,12,Extinction,0.4280
true,441.12,12,Extinction,0.4280
true,614.79,16,Extinction,0.7486
true,689.28,17,Extinction,0.8609
true,465.76,11,Extinction,0.3722
true,466.19,11,Extinction,0.3722
true,351.35,9,Extinction,0.2814
true,428.11,12,Extinction,0.4280
true,828.03,18,Extinction,0.9900
true,250.62,6,Extinction,0.1850
true,464.46,14,Extinction,0.5661
true,378.99,12,Extinction,0.4280
true,278.63,8,Extinction,0.2447
true,344.41,11,Extinction,0.3722
true,148.95,7,Extinction,0.2128
true,726.85,19,Extinction,0.9900
true,652.74,15,Extinction,0.6510
true,23.88,2,Extinction,0.1058
true,336.60,8,Extinction,0.2447
true,553.85,13,Extinction,0.4922
true,609.06,17,Extinction,0.8609
